Date,PET
2022-08-28,8.814
2022-08-29,9.227
2022-08-30,8.417
2022-08-31,8.16
2022-09-01,8.581
2022-09-02,9.129
2022-09-03,9.27
2022-09-04,8.189
2022-09-05,8.449
2022-09-06,8.318
2022-09-07,8.062
2022-09-08,7.813
2022-09-09,7.937
2022-09-10,7.813
2022-09-11,8.851
2022-09-12,6.557
2022-09-13,6.146
2022-09-14,6.992
2022-09-15,7.451
2022-09-16,7.451
2022-09-17,8.062
2022-09-18,7.937
2022-09-19,7.937
2022-09-20,9.129
2022-09-21,9.855
2022-09-22,9.559
2022-09-23,6.557
2022-09-24,7.105
2022-09-25,8.062
2022-09-26,6.452
2022-09-27,5.127
2022-09-28,5.389
2022-09-29,4.876
2022-09-30,5.57
2022-10-01,5.345
2022-10-02,5.903
2022-10-03,6.303
2022-10-04,6.1
2022-10-05,6.001
2022-10-06,5.903
2022-10-07,6.618
2022-10-08,5.083
2022-10-09,4.593
2022-10-10,4.915
2022-10-11,5.903
2022-10-12,6.303
2022-10-13,5.434
2022-10-14,5.083
2022-10-15,6.201
2022-10-16,6.511
2022-10-17,4.915
2022-10-18,2.963
2022-10-19,3.127
2022-10-20,3.241
2022-10-21,4.289
2022-10-22,5.434
2022-10-23,5.434
2022-10-24,5.434
2022-10-25,6.1
2022-10-26,4.003
2022-10-27,4.363
2022-10-28,5.618
2022-10-29,6.1
2022-10-30,5.618
2022-10-31,5.434
2022-11-01,5.235
2022-11-02,6.275
2022-11-03,5.975
2022-11-04,6.695
2022-11-05,6.074
2022-11-06,7.254
2022-11-07,7.852
2022-11-08,7.608
2022-11-09,5.503
2022-11-10,5.878
2022-11-11,5.594
2022-11-12,3.29
2022-11-13,2.204
2022-11-14,2.603
2022-11-15,3.175
2022-11-16,2.699
2022-11-17,2.204
2022-11-18,2.418
2022-11-19,2.287
2022-11-20,2.287
2022-11-21,2.555
2022-11-22,3.721
2022-11-23,3.989
2022-11-24,4.814
2022-11-25,4.654
2022-11-26,4.201
2022-11-27,4.422
2022-11-28,3.853
2022-11-29,4.498
2022-11-30,3.531
2022-12-01,2.115
2022-12-02,3.413
2022-12-03,4.113
2022-12-04,3.023
2022-12-05,3.717
2022-12-06,5.528
2022-12-07,5.016
2022-12-08,5.098
2022-12-09,5.016
2022-12-10,4.621
2022-12-11,3.911
2022-12-12,3.472
2022-12-13,3.413
2022-12-14,3.781
2022-12-15,2.445
2022-12-16,2.193
2022-12-17,2.154
2022-12-18,1.757
2022-12-19,1.692
2022-12-20,2.154
2022-12-21,2.358
2022-12-22,2.154
2022-12-23,0.961
2022-12-24,0.851
2022-12-25,1.197
2022-12-26,1.294
2022-12-27,1.965
2022-12-28,2.445
2022-12-29,4.183
2022-12-30,3.978
2022-12-31,4.325
